domain,severity,reject_media,reject_reports,public_comment,obfuscate
sandbox.mastodon.iftas.org,suspend,False,False,,False
sarahlizzy.org,suspend,False,False,,False
sb17.space,suspend,False,False,,False
s.balloon.net.eu.org,suspend,False,False,,False
scholar.social,suspend,False,False,,False
schottkydio.de,suspend,False,False,,False
schraepler.de,suspend,False,False,,False
scriptura.fedivienne.org,suspend,False,False,,False
searx.envs.net,suspend,False,False,,False
seletronic.com.br,suspend,False,False,,False
s.fyfy.eu.org,suspend,False,False,,False
sharkey.blahaj.zone,suspend,False,False,,False
sharkey.meerjungfrauengrotte.de,suspend,False,False,,False
shitpost.school,suspend,False,False,,False
shrimp.simcha.lgbt,suspend,False,False,,False
simcha.lgbt,suspend,False,False,,False
sk1.sowhat.jp.eu.org,suspend,False,False,,False
skastodon.com,suspend,False,False,,False
skyland.social,suspend,False,False,,False
sky.staropensource.de,suspend,False,False,,False
sleepygremlin.online,suspend,False,False,,False
sleepy.ink,suspend,False,False,,False
slightly.social,suspend,False,False,,False
slime.computer,suspend,False,False,,False
slime.global,suspend,False,False,,False
slon.yojik.net,suspend,False,False,,False
sloth.run,suspend,False,False,,False
smashingly.gay,suspend,False,False,,False
snug.town,suspend,False,False,,False
soc.citizen4.eu,suspend,False,False,,False
social.afront.org,suspend,False,False,,False
social.arazil.net,suspend,False,False,,False
social.beaware.live,suspend,False,False,,False
social.bugarin.com.br,suspend,False,False,,False
social.cherrykitten.dev,suspend,False,False,,False
social.critter.camp,suspend,False,False,,False
social.cryptography.dog,suspend,False,False,,False
social-dev.treehouse.systems,suspend,False,False,,False
social.diskseven.com,suspend,False,False,,False
social.dromografos.report,suspend,False,False,,False
sociale.network,suspend,False,False,,False
social.fluxfox.dev,suspend,False,False,,False
social.fops.one,suspend,False,False,,False
social.franco.net.eu.org,suspend,False,False,,False
social.funkyfish.cool,suspend,False,False,,False
social.generallyrubbish.net,suspend,False,False,,False
social.gnieh.org,suspend,False,False,,False
social.grautier.com,suspend,False,False,,False
social.hamington.net,suspend,False,False,,False
social.inex.rocks,suspend,False,False,,False
